Run ID,Output Reliability (%),Entities F1 (Recognition),Entities F1 (Typing),Entities F1 (Extraction),Attributes F1 (Recognition),Attributes F1 (Typing),Attributes F1 (Extraction),Relations F1,Properties F1,Signatures: Relations Rate (%),Signatures: Properties Rate (%),Hallucinations: Relations Rate (%),Hallucinations: Properties Rate (%),Hallucinations: Types Rate (%),Invalid JSON Rate (%),Schema Validation Rate (%),Extra Entity Rate (%),Extra Attribute Rate (%),Extra Prefix Rate (%),Missing Entity Rate (%),Missing Attribute Rate (%),Missing Prefix Rate (%),Avg Latency (s),Avg Cost ($),Avg Input Tokens,Avg Output Tokens,Avg Reasoning Tokens,Total Latency (hh:mm:ss),Total Cost ($),Total Input Tokens,Total Output Tokens,Total Reasoning Tokens
Claude 4.5 Sonnet - minimal-thinking - 1024 tokens,99.01,0.66,0.7,0.91,0.86,0.89,0.86,0.74,0.84,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,20.084,0.05,8040,1708,0,11:14:08,100.17,16191487,3439969,0
Claude 4.5 Sonnet - minimal-thinking - 11606 tokens,99.75,0.66,0.7,0.91,0.86,0.89,0.86,0.74,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.2,0.0,0.0,0.0,27.296,0.06,8040,2393,0,15:16:13,120.86,16191487,4819191,0
Claude 4.5 Sonnet - no-thinking,91.96,0.68,0.72,0.9,0.87,0.92,0.87,0.72,0.85,1.49,0.25,0.0,0.05,0.0,0.2,0.94,5.71,0.2,0.99,0.0,0.0,0.0,5.325,0.03,8009,366,0,02:58:45,59.45,16129053,737274,0
Claude 4.6 Opus - dynamic-thinking,38.33,0.68,0.72,0.91,0.69,0.77,0.69,0.72,0.67,0.0,0.0,0.0,0.0,0.0,15.29,0.0,0.0,0.0,46.38,0.0,0.0,0.0,19.027,0.07,8028,1231,0,10:38:40,142.82,16167319,2479499,0
Claude 4.6 Opus - no-thinking,45.78,0.68,0.73,0.91,0.73,0.83,0.73,0.76,0.7,0.15,0.15,0.0,0.0,0.0,0.25,0.1,0.1,0.0,53.77,0.0,0.0,0.0,6.534,0.05,8011,507,0,03:39:20,106.21,16133081,1021658,0
Claude 4.6 Sonnet - dynamic-thinking,85.4,0.65,0.7,0.9,0.83,0.86,0.83,0.73,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,0.0,0.0,0.0,23.747,0.05,8028,1854,0,13:17:05,104.5,16167319,3733114,0
Claude 4.6 Sonnet - no-thinking,68.37,0.66,0.71,0.87,0.84,0.9,0.84,0.69,0.82,0.6,0.45,0.0,0.05,0.0,0.0,0.15,0.35,0.05,31.08,0.0,0.0,0.0,4.462,0.03,8011,372,0,02:29:46,59.64,16133081,749496,0
GPT 4.1 2025-04-14,95.83,0.68,0.72,0.89,0.9,0.93,0.9,0.68,0.88,4.72,0.55,0.0,0.15,0.05,0.0,1.04,2.83,0.25,0.05,0.0,0.05,0.0,2.19,0.02,6895,286,0,01:13:31,32.38,13887420,575985,0
GPT 4.1 Mini 2025-04-14,57.0,0.75,0.79,0.89,0.85,0.89,0.85,0.69,0.83,4.67,1.89,0.2,0.7,0.0,0.0,5.11,5.81,1.64,30.54,0.0,0.89,0.0,3.685,0.01,6895,300,0,02:03:41,6.52,13887420,603610,0
GPT 4.1 Nano 2025-04-14,10.92,0.65,0.7,0.84,0.65,0.85,0.67,0.59,0.59,1.84,3.48,0.35,1.64,0.3,1.69,57.75,15.29,10.53,9.93,0.99,7.99,0.15,3.221,0.01,6895,311,0,01:48:05,1.64,13887420,626709,0
GPT 4o 2024-11-20,39.03,0.67,0.71,0.87,0.76,0.87,0.76,0.67,0.73,2.48,1.79,0.1,0.6,0.05,0.79,1.69,1.09,1.09,56.41,0.05,0.15,0.0,2.055,0.02,6895,303,0,01:08:58,40.82,13887420,610488,0
GPT 4o Mini 2024-07-18,26.22,0.65,0.67,0.89,0.59,0.74,0.6,0.63,0.57,3.08,4.27,0.15,1.64,0.35,5.41,19.51,26.22,16.44,18.72,0.0,17.63,0.0,6.506,0.01,6895,322,0,03:38:23,2.47,13887420,648970,0
GPT 5 2025-08-07 - high-thinking,99.5,0.72,0.79,0.88,0.85,0.88,0.85,0.7,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,76.475,0.06,6894,306,4460,42:46:59,23.51,13885406,615304,8982464
GPT 5 2025-08-07 - low-thinking,96.38,0.67,0.74,0.85,0.86,0.88,0.86,0.67,0.84,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.3,0.0,3.18,0.0,0.0,0.0,16.202,0.02,6894,296,764,09:03:51,23.32,13885406,596081,1538752
GPT 5 2025-08-07 - medium-thinking,98.66,0.7,0.77,0.87,0.85,0.88,0.85,0.69,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,1.29,0.0,0.0,0.0,48.921,0.04,6894,302,2243,27:22:06,23.43,13885406,607228,4517888
GPT 5 2025-08-07 - minimal-thinking,66.63,0.63,0.68,0.79,0.87,0.9,0.87,0.61,0.85,1.64,0.05,0.05,0.0,0.0,0.0,1.14,1.04,0.4,30.79,0.0,0.0,0.0,4.95,0.01,6894,289,0,02:46:08,23.18,13885406,582186,0
GPT 5 Mini 2025-08-07 - high-thinking,99.5,0.66,0.71,0.87,0.78,0.83,0.78,0.68,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,61.704,0.01,6894,306,3769,34:31:11,4.71,13885406,617121,7591616
GPT 5 Mini 2025-08-07 - low-thinking,80.44,0.66,0.7,0.86,0.8,0.84,0.8,0.68,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.0,18.12,0.0,0.05,0.0,15.579,0.01,6894,298,533,08:42:55,4.67,13885406,599631,1073344
GPT 5 Mini 2025-08-07 - medium-thinking,97.07,0.65,0.7,0.86,0.8,0.85,0.8,0.67,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,2.53,0.0,0.0,0.0,29.055,0.01,6894,300,1480,16:15:16,4.68,13885406,603200,2980416
GPT 5 Mini 2025-08-07 - minimal-thinking,41.51,0.7,0.74,0.87,0.67,0.75,0.68,0.67,0.64,3.23,3.87,0.05,1.74,0.05,0.0,1.74,3.77,1.84,51.49,0.0,0.99,0.0,5.053,0.01,6894,322,0,02:49:37,4.77,13885406,648713,0
GPT 5 Nano 2025-08-07 - high-thinking,37.34,0.67,0.72,0.87,0.7,0.77,0.7,0.68,0.66,0.0,0.6,0.0,0.3,0.0,2.53,5.36,7.85,1.94,45.28,0.0,6.8,0.0,90.446,0.01,6894,404,10069,50:35:58,1.02,13885406,813513,20279232
GPT 5 Nano 2025-08-07 - low-thinking,7.75,0.64,0.67,0.79,0.84,0.88,0.84,0.61,0.79,0.05,0.2,0.0,0.05,0.0,29.79,47.62,3.87,2.19,10.58,0.0,1.59,0.05,23.223,0.01,6894,1142,1174,12:59:30,1.61,13885406,2299445,2365248
GPT 5 Nano 2025-08-07 - medium-thinking,28.9,0.66,0.71,0.86,0.68,0.75,0.68,0.67,0.63,0.1,0.79,0.0,0.45,0.0,11.52,16.78,7.05,2.09,34.76,0.0,4.92,0.05,52.435,0.01,6894,668,4995,29:20:03,1.23,13885406,1344456,10060480
GPT 5 Nano 2025-08-07 - minimal-thinking,3.03,0.77,0.8,0.87,0.47,0.72,0.49,0.55,0.44,0.4,0.79,0.05,0.35,0.0,2.88,47.07,18.27,16.88,25.52,0.45,6.46,0.1,2.975,0.01,6894,386,0,01:39:51,1.01,13885406,777070,0
GPT 5.1 2025-11-13 - high-thinking,84.26,0.76,0.82,0.89,0.75,0.85,0.75,0.72,0.73,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15.64,0.0,0.0,0.0,53.712,0.06,6894,313,4709,30:02:54,23.66,13885406,629790,9484749
GPT 5.1 2025-11-13 - low-thinking,60.82,0.69,0.74,0.86,0.76,0.84,0.76,0.7,0.73,0.1,0.05,0.0,0.0,0.05,0.05,0.0,1.84,0.15,37.14,0.0,0.05,0.0,12.156,0.02,6894,309,484,06:48:02,23.58,13885406,622295,974434
GPT 5.1 2025-11-13 - medium-thinking,82.42,0.73,0.79,0.89,0.78,0.85,0.78,0.72,0.76,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.25,0.0,17.28,0.0,0.0,0.0,28.772,0.03,6894,311,1597,16:05:47,23.62,13885406,626224,3216618
GPT 5.1 2025-11-13 - no-thinking,75.97,0.62,0.66,0.76,0.85,0.88,0.85,0.59,0.83,1.94,0.6,0.05,0.2,0.0,0.05,1.24,2.78,0.65,19.32,0.0,0.0,0.0,3.818,0.01,6894,280,0,02:08:09,22.99,13885406,563045,0
GPT 5.2 2025-12-11 - high-thinking,99.65,0.69,0.73,0.88,0.85,0.88,0.85,0.7,0.83,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.25,0.0,0.0,0.0,15.474,0.03,6894,303,601,08:39:24,32.83,13885406,609232,1210664
GPT 5.2 2025-12-11 - low-thinking,92.3,0.65,0.7,0.86,0.85,0.87,0.85,0.68,0.83,0.1,0.0,0.0,0.0,0.0,0.5,0.05,0.35,0.0,6.8,0.0,0.0,0.0,7.405,0.02,6894,295,171,04:08:32,32.62,13885406,594275,343633
GPT 5.2 2025-12-11 - medium-thinking,97.96,0.67,0.72,0.87,0.85,0.87,0.85,0.69,0.84,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.0,0.0,1.44,0.0,0.0,0.0,10.961,0.02,6894,299,375,06:07:55,32.72,13885406,601780,754548
GPT 5.2 2025-12-11 - no-thinking,93.35,0.57,0.6,0.69,0.86,0.88,0.86,0.54,0.85,2.09,0.0,0.0,0.0,0.0,0.15,0.35,2.23,0.0,3.92,0.0,0.0,0.0,2.958,0.02,6894,242,0,01:39:16,31.11,13885406,486346,0
GPT 5.2 2025-12-11 - xhigh-thinking,99.9,0.72,0.77,0.9,0.84,0.86,0.84,0.72,0.82,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.06,0.06,6894,311,2984,34:43:08,33.07,13885406,626702,6008979
Gemini 2.0 Flash,51.29,0.65,0.69,0.89,0.78,0.88,0.78,0.69,0.76,4.12,0.3,0.0,0.05,0.0,0.45,41.41,2.53,0.25,4.07,0.0,0.05,0.0,1.8,0.01,7317,347,0,01:00:25,2.63,14737251,698693,0
Gemini 2.0 Flash-Lite,32.92,0.66,0.69,0.9,0.7,0.86,0.7,0.7,0.67,2.09,0.7,0.05,0.15,0.0,0.0,46.48,2.48,1.29,16.98,0.0,0.15,0.1,2.676,0.01,7317,377,0,01:29:48,1.33,14737251,759763,0
Gemini 2.5 Flash - dynamic-thinking,97.22,0.65,0.7,0.9,0.85,0.9,0.85,0.71,0.84,0.05,0.1,0.0,0.1,0.0,0.0,0.0,0.6,0.0,2.19,0.0,0.0,0.0,29.153,0.01,7317,348,1436,16:18:34,1.39,14737251,701055,2892074
Gemini 2.5 Flash - high-thinking - 24576 tokens,96.43,0.66,0.7,0.9,0.84,0.9,0.84,0.72,0.82,0.35,0.2,0.2,0.2,0.15,0.0,0.0,0.89,0.0,2.68,0.0,0.0,0.0,30.697,0.01,7317,348,1596,17:10:23,1.39,14737251,701335,3213751
Gemini 2.5 Flash - low-thinking - 12288 tokens,97.17,0.66,0.7,0.9,0.85,0.91,0.86,0.72,0.84,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.33,0.0,0.0,0.0,41.646,0.01,7317,349,1559,23:17:55,1.39,14737251,702519,3140282
Gemini 2.5 Flash - medium-thinking - 18432 tokens,96.77,0.65,0.7,0.89,0.85,0.91,0.85,0.71,0.84,0.05,0.1,0.05,0.1,0.0,0.0,0.0,0.84,0.05,2.33,0.0,0.0,0.0,30.124,0.01,7317,346,1537,16:51:09,1.38,14737251,697581,3095506
Gemini 2.5 Flash - minimal-thinking - 6144 tokens,96.48,0.65,0.7,0.9,0.86,0.91,0.86,0.72,0.84,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.93,0.0,0.0,0.0,41.813,0.01,7317,348,1551,23:23:30,1.39,14737251,700619,3122813
Gemini 2.5 Flash - no-thinking,56.85,0.67,0.71,0.9,0.81,0.88,0.82,0.71,0.79,3.63,0.3,0.05,0.15,0.0,0.0,34.61,0.7,0.45,7.45,0.0,0.0,0.0,1.364,0.01,7317,360,0,00:45:47,6.24,14737251,725811,0
Gemini 2.5 Flash-Lite - dynamic-thinking,50.35,0.69,0.73,0.9,0.61,0.69,0.61,0.7,0.57,0.4,0.65,0.0,0.35,0.0,0.0,0.3,1.64,0.15,47.27,0.0,1.04,0.0,12.875,0.01,7317,377,3767,07:12:10,1.41,14737251,759807,7587222
Gemini 2.5 Flash-Lite - high-thinking - 24576 tokens,49.95,0.7,0.75,0.89,0.62,0.69,0.62,0.69,0.58,0.7,0.4,0.0,0.15,0.05,0.0,0.5,1.64,0.1,47.72,0.0,0.94,0.0,10.343,0.01,7317,379,4114,05:47:10,1.41,14737251,763495,8285748
Gemini 2.5 Flash-Lite - low-thinking - 8534 tokens,49.65,0.68,0.73,0.9,0.61,0.69,0.61,0.71,0.58,0.65,0.35,0.0,0.1,0.0,0.0,0.3,1.64,0.4,48.01,0.0,0.94,0.0,10.388,0.01,7317,379,3982,05:48:41,1.41,14737251,763630,8020527
Gemini 2.5 Flash-Lite - medium-thinking - 16556 tokens,47.92,0.7,0.74,0.9,0.62,0.7,0.62,0.71,0.59,0.65,0.3,0.0,0.2,0.0,0.0,0.45,1.74,0.15,49.65,0.0,1.09,0.0,10.464,0.01,7317,377,4074,05:51:14,1.41,14737251,759664,8205794
Gemini 2.5 Flash-Lite - minimal-thinking - 512 tokens,52.19,0.64,0.69,0.88,0.39,0.44,0.39,0.61,0.36,10.87,27.95,1.04,13.8,0.1,0.25,4.02,13.61,13.11,20.66,0.2,7.94,0.0,2.564,0.01,7317,638,435,01:26:03,1.62,14737251,1285400,876635
Gemini 2.5 Flash-Lite - no-thinking,55.36,0.62,0.66,0.88,0.33,0.4,0.33,0.6,0.3,11.82,24.43,1.44,14.8,0.15,0.5,3.08,22.49,14.4,9.63,0.1,14.4,0.0,1.507,0.01,7317,663,0,00:50:34,1.64,14737251,1335022,0
Gemini 2.5 Pro - dynamic-thinking,93.6,0.66,0.7,0.91,0.86,0.88,0.86,0.74,0.83,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41,0.0,0.0,0.0,17.683,0.03,7317,358,1861,09:53:33,25.62,14737251,720082,3746963
Gemini 2.5 Pro - high-thinking - 32768 tokens,91.56,0.67,0.7,0.91,0.85,0.88,0.85,0.74,0.83,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.44,0.0,0.0,0.0,18.252,0.03,7317,357,1925,10:12:39,25.61,14737251,718997,3876609
Gemini 2.5 Pro - low-thinking - 11008 tokens,93.99,0.67,0.71,0.91,0.85,0.88,0.85,0.73,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01,0.0,0.0,0.0,16.877,0.03,7317,357,1876,09:26:30,25.6,14737251,718246,3777495
Gemini 2.5 Pro - medium-thinking - 21888 tokens,94.69,0.67,0.7,0.91,0.85,0.88,0.85,0.74,0.83,0.15,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,5.26,0.0,0.0,0.0,18.417,0.03,7317,357,1942,10:18:11,25.61,14737251,718461,3911413
Gemini 2.5 Pro - minimal-thinking - 128 tokens,85.9,0.68,0.73,0.88,0.88,0.93,0.88,0.72,0.87,1.44,0.0,0.0,0.0,0.0,0.0,0.5,1.84,0.0,11.77,0.0,0.0,0.0,3.569,0.01,7317,342,84,01:59:46,25.3,14737251,687692,168106
Gemma 3 12B Inst - SFT,99.65,0.85,0.88,0.91,0.94,0.96,0.94,0.81,0.93,5.26,3.08,1.59,0.6,0.2,0.0,0.1,0.25,0.0,0.0,0.0,0.0,0.0,11.39,0.01,1552,262,0,06:22:18,19.6,3126417,528090,0
Gemma 3 27B Inst - SFT,99.8,0.86,0.89,0.92,0.95,0.96,0.95,0.82,0.93,4.87,2.78,1.29,0.25,0.0,0.0,0.05,0.15,0.0,0.0,0.0,0.0,0.0,14.573,0.01,1552,261,0,08:09:09,25.2,3126417,524734,0
Gemma 3 4B Inst - SFT,99.01,0.84,0.88,0.89,0.94,0.95,0.94,0.76,0.9,10.68,3.77,2.23,0.84,0.45,0.1,0.4,0.45,0.0,0.0,0.05,0.0,0.0,8.213,0.01,1552,263,0,04:35:39,14.0,3126417,530310,0
Magistral Medium 1.2,64.75,0.64,0.69,0.87,0.74,0.84,0.74,0.69,0.72,0.2,0.15,0.0,0.1,0.05,1.49,0.05,0.3,0.0,33.32,0.0,0.4,0.0,104.771,0.03,7048,3602,0,58:36:48,64.66,14193986,7253371,0
Ministral 3 14B,39.37,0.63,0.67,0.87,0.54,0.71,0.55,0.63,0.49,4.42,5.16,0.0,1.94,0.0,0.25,14.4,7.1,2.73,36.99,0.1,1.04,0.0,3.089,0.01,7048,317,0,01:43:40,2.97,14193986,638750,0
Ministral 3 8B,50.25,0.61,0.67,0.86,0.62,0.77,0.62,0.59,0.59,8.49,5.07,0.05,2.68,0.0,3.28,6.85,11.32,4.82,24.98,0.25,2.23,0.1,2.018,0.01,7048,328,0,01:07:44,2.23,14193986,660720,0
Mistral Large 3,55.56,0.62,0.7,0.85,0.59,0.69,0.59,0.65,0.55,5.96,5.36,0.2,2.23,0.0,0.55,4.72,4.42,3.67,30.98,0.35,1.09,0.0,5.191,0.01,7048,372,0,02:54:14,8.22,14193986,749768,0
Mistral Medium 3,57.7,0.66,0.73,0.86,0.62,0.7,0.62,0.64,0.61,2.53,12.26,0.05,1.54,0.0,0.0,0.79,4.97,13.21,26.22,0.05,0.2,0.0,6.971,0.01,7048,351,0,03:53:59,7.09,14193986,707298,0
Mistral Medium 3.1,35.25,0.65,0.71,0.87,0.67,0.74,0.67,0.66,0.64,1.39,5.56,0.0,0.15,0.0,0.0,8.79,2.38,18.37,36.84,0.15,0.25,0.0,7.11,0.01,7048,364,0,03:58:39,7.15,14193986,733823,0
Mistral Small 3.2 - SFT,99.95,0.87,0.9,0.92,0.95,0.97,0.95,0.82,0.92,6.01,3.13,1.29,0.15,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,7.933,0.01,1606,242,0,04:26:16,14.0,3233798,486659,0
Mistral Small 4 - high-thinking,45.28,0.66,0.71,0.88,0.67,0.75,0.67,0.7,0.64,1.09,2.19,0.0,0.2,0.0,0.25,4.97,2.98,1.94,44.74,0.1,1.34,0.0,11.986,0.01,7060,2175,0,06:42:19,4.76,14218154,4380687,0
Mistral Small 4 - no-thinking,34.81,0.51,0.54,0.7,0.68,0.79,0.68,0.54,0.65,1.94,4.32,0.0,0.75,0.0,0.0,5.46,4.07,5.61,51.89,0.1,0.6,0.0,1.883,0.01,7060,309,0,01:03:12,2.51,14218154,623101,0
Phi 4 - SFT,99.4,0.84,0.89,0.9,0.94,0.96,0.94,0.77,0.9,6.9,4.22,1.74,1.34,0.2,0.0,0.3,0.25,0.0,0.0,0.05,0.0,0.0,7.026,0.01,1574,226,0,03:55:49,11.2,3170630,454218,0
